Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCA_013396365.1	ASM1339636v1	Cochlearius cochlearius					B10K-CU-031-03		Annotation submitted by B10K Consortium	1173743951	Scaffold	2020-07-10	VWPP01
GCA_013400295.1	ASM1340029v1	Larus smithsonianus					B10K-DU-002-28	female	Annotation submitted by B10K Consortium	1174553315	Scaffold	2020-07-10	WAAC01
GCA_013400155.1	ASM1340015v1	Locustella ochotensis					B10K-DU-002-09	male	Annotation submitted by B10K Consortium	1039556136	Scaffold	2020-07-10	VXBM01
GCA_013396455.1	ASM1339645v1	Lophotis ruficrista					B10K-CU-031-23	male	Annotation submitted by B10K Consortium	1111150882	Scaffold	2020-07-10	VWYV01
GCA_013398405.1	ASM1339840v1	Pheucticus melanocephalus					OUT-0018	male	Annotation submitted by B10K Consortium	1048530562	Scaffold	2020-07-10	VZSJ01
GCA_013400035.1	ASM1340003v1	Rynchops niger					B10K-DU-002-16	female	Annotation submitted by B10K Consortium	1178085471	Scaffold	2020-07-10	VXBH01
GCA_013401095.1	ASM1340109v1	Passerina amoena					OUT-0017	male	Annotation submitted by B10K Consortium	1068852817	Scaffold	2020-07-10	WBNP01
GCA_013398855.1	ASM1339885v1	Mohoua ochrocephala					B10K-DU-030-22		Annotation submitted by B10K Consortium	1038537151	Scaffold	2020-07-10	VZTA01
GCA_013400135.1	ASM1340013v1	Rhinoptilus africanus					B10K-DU-002-36	female	Annotation submitted by B10K Consortium	1154870122	Scaffold	2020-07-10	VXBO01
GCA_013396715.1	ASM1339671v1	Ciccaba nigrolineata					B10K-DU-001-07	female	Annotation submitted by B10K Consortium	1188087058	Scaffold	2020-07-10	VWZC01
GCA_013397095.1	ASM1339709v1	Sterrhoptilus dennistouni					B10K-DU-001-27	female	Annotation submitted by B10K Consortium	1050381639	Scaffold	2020-07-10	VWZU01
GCA_013398575.1	ASM1339857v1	Certhia familiaris					OUT-0039	male	Annotation submitted by B10K Consortium	1066430070	Scaffold	2020-07-10	WBNC01
GCA_011057875.1	REN_Porient_1.0	Pterocles orientalis					G09M00003	male		1201761903	Scaffold	2020-03-02	WKFP01
GCA_013400795.1	ASM1340079v1	Pluvianellus socialis					B10K-DU-012-14		Annotation submitted by B10K Consortium	1185839265	Scaffold	2020-07-10	VZTS01
GCA_025769975.1	ASM2576997v1	Gallinago jamesoni					LSU 3558			1130334844	Scaffold	2022-10-20	JAOQGH01
GCA_013399795.1	ASM1339979v1	Zosterops hypoxanthus					B10K-DU-001-36	female	Annotation submitted by B10K Consortium	1051741454	Scaffold	2020-07-10	VWYL01
GCA_029619115.1	ASM2961911v1	Clangula hyemalis				wild	HKYD19072657_A	male		1130355540	Scaffold	2023-04-07	JAQQTJ01
GCA_026546715.1	ASM2654671v1	Gallinago undulata					INPA A24358			1129623370	Scaffold	2022-11-30	JAOTQQ01
GCA_026212995.1	ASM2621299v1	Leucopternis kuhli					ANSP 31891			1187307059	Scaffold	2022-11-16	JANZLT01
GCA_013399915.1	ASM1339991v1	Illadopsis cleaveri					B10K-DU-002-01	female	Annotation submitted by B10K Consortium	1054200279	Scaffold	2020-07-10	VXBB01
GCA_009806455.1	REN_Tetrax_1.0	Tetrax tetrax					T08N04531	male		1259185357	Scaffold	2019-12-27	WHYT01
GCA_013398795.1	ASM1339879v1	Elachura formosa					B10K-IZCAS-20218		Annotation submitted by B10K Consortium	1013707244	Scaffold	2020-07-10	WBNG01
GCA_010080425.1	BGI_Esch.V1	Eudyptes schlegeli					4458		Annotation submitted by BGI-Shenzhen	1308180354	Scaffold	2020-01-31	VULF01
GCA_010082375.1	BGI_Emos.V1	Eudyptes moseleyi					NRP 118-1		Annotation submitted by BGI-Shenzhen	1301647863	Scaffold	2020-01-31	VULI01
GCA_025435075.1	ASM2543507v1	Buteo lineatus								1239587557	Scaffold	2022-09-27	JANVCS01
GCA_027122955.1	ASM2712295v1	Falco deiroleucus					KU 125726			1177880723	Scaffold	2022-12-20	JAOPJS01
GCA_025310135.1	ASM2531013v1	Buteo platypterus					ANSP 28755			1209786575	Scaffold	2022-09-20	JAOBAO01
GCA_013398915.1	ASM1339891v1	Dromas ardeola					B10K-DU-012-55		Annotation submitted by B10K Consortium	1192853411	Scaffold	2020-07-10	VYZM01
GCA_013399635.1	ASM1339963v1	Chordeiles acutipennis					B10K-DU-008-62	female	Annotation submitted by B10K Consortium	1172521041	Scaffold	2020-07-10	VXAQ01
GCA_013390005.1	ASM1339000v1	Calyptomena viridis					B10K-DU-002-55	female	Annotation submitted by B10K Consortium	1056832477	Scaffold	2020-07-06	WEIV01
GCA_027475485.1	ASM2747548v1	Accipiter fasciatus					ANSP 27428			1269671760	Scaffold	2022-12-28	JANBPN01
GCA_013401295.1	ASM1340129v1	Glareola pratincola					B10K-CU-031-08	female	Annotation submitted by B10K Consortium	1172993239	Scaffold	2020-07-10	VWPO01
GCA_013401065.1	ASM1340106v1	Cepphus grylle					OUT-0020	female	Annotation submitted by B10K Consortium	1197650647	Scaffold	2020-07-10	VZUD01
GCA_013400275.1	ASM1340027v1	Rhadina sibilatrix					B10K-DU-002-26	female	Annotation submitted by B10K Consortium	1045321485	Scaffold	2020-07-10	VWYO01
GCA_013399055.1	ASM1339905v1	Ramphastos sulfuratus					B10K-DU-001-30	female	Annotation submitted by B10K Consortium	1176906612	Scaffold	2020-07-10	WBNM01
GCA_021437185.1	HU_Cminimus_1.0	Catharus minimus					NYSM-17433	male		1050367032	Scaffold	2022-01-11	JAJGBI01
GCA_009867315.2	ASM986731v2	Psittacus timneh					Z5AY2Y56IY	female		1115194763	Scaffold	2022-11-27	WYDJ02
GCA_025310495.1	ASM2531049v1	Harpagus bidentatus					ANSP 31945			1208184053	Scaffold	2022-09-20	JAOBAP01
GCA_027575045.1	ASM2757504v1	Spizaetus melanoleucus					ANSP 21608			1200166840	Scaffold	2023-01-06	JANZXW01
GCA_013398155.1	ASM1339815v1	Pedionomus torquatus					B10K-DU-029-80	female	Annotation submitted by B10K Consortium	1134620722	Scaffold	2020-07-10	VZRU01
GCA_026937345.1	ASM2693734v1	Buteo jamaicensis					ANSP 29542			1209393109	Scaffold	2022-12-16	JANVCO01
GCA_010312235.1	ButJap1.0	Buteo japonicus					eb-nibr-220			1259715124	Scaffold	2020-02-04	PYWZ01
GCA_027559655.1	ASM2755965v1	Accipiter superciliosus					IRGN 5UDVVMYWPV			1216271545	Scaffold	2023-01-03	JAOBUD01
GCA_025448155.1	ASM2544815v1	Cacatua ducorpsii					IRGN EZV2UPD3BS			1171361419	Scaffold	2022-09-27	JAOEHO01
GCA_027580095.1	ASM2758009v1	Circus hudsonius					ANSP 35205			1190894400	Scaffold	2023-01-06	JANZYE01
GCA_013401215.1	ASM1340121v1	Atlantisia rogersi					OUT-0055	male	Annotation submitted by B10K Consortium	1168394043	Scaffold	2020-07-10	VZUJ01
GCA_013399565.1	ASM1339956v1	Podilymbus podiceps					B10K-DU-009-04	female	Annotation submitted by B10K Consortium	1197106122	Scaffold	2020-07-10	VXAO01
GCA_024606505.1	ASM2460650v1	Aquila spilogaster					LACM Birds-75152			1799223129	Scaffold	2022-08-09	JANHGO01
GCA_028567095.1	ASM2856709v1	Accipiter rufitorques					KU 120222			1207981799	Scaffold	2023-02-09	JANHGY01
GCA_027564655.1	ASM2756465v1	Leptodon cayanensis					ANSP 21775			1210132549	Scaffold	2023-01-03	JANXJC01
GCA_025727955.1	ASM2572795v1	Falco cenchroides					KU 98805			1190133373	Scaffold	2022-10-17	JAOSZA01
GCA_027564715.1	ASM2756471v1	Harpyhaliaetus solitarius					LSUMZ B-22903			1192366706	Scaffold	2023-01-03	JANXJE01
GCA_027475465.1	ASM2747546v1	Hieraaetus morphnoides					IRGN ZYZTKKNN2O			1213141085	Scaffold	2022-12-28	JAOXJU01
GCA_011801015.1	REN_Aarabs_1.0	Ardeotis arabs				Yemen	R09N00325	male		1297600582	Scaffold	2020-03-31	JAAGAY01
GCA_013389925.1	ASM1338992v1	Aegithalos caudatus					B10K-DU-002-10	female	Annotation submitted by B10K Consortium	1013845238	Scaffold	2020-07-06	WEIU01
GCA_025802315.1	ASM2580231v1	Hieraaetus ayresii					IRGN Q1B68H6AT3			1310946357	Scaffold	2022-10-23	JAOYMW01
GCA_025630005.1	ASM2563000v1	Falco fasciinucha					KU 125719			1321966957	Scaffold	2022-10-08	JAOSLO01
GCA_013399515.1	ASM1339951v1	Sylvietta virens					B10K-DU-009-59	male	Annotation submitted by B10K Consortium	1028027743	Scaffold	2020-07-10	VXAN01
GCA_025504725.1	ASM2550472v1	Circaetus gallicus								1199816934	Scaffold	2022-09-30	JANZMD01
GCA_030265285.1	ASM3026528v1	Cacatua sanguinea					KU 6186			1108262381	Scaffold	2023-06-13	JARBET01
GCA_013396595.1	ASM1339659v1	Nyctibius bracteatus					B10K-CU-031-10	female	Annotation submitted by B10K Consortium	1169290544	Scaffold	2020-07-10	VWZB01
GCA_025435035.1	ASM2543503v1	Cryptoleucopteryx plumbea								1238767795	Scaffold	2022-09-27	JANZME01
GCA_013400615.1	ASM1340061v1	Syrrhaptes paradoxus					B10K-DU-003-42	male	Annotation submitted by B10K Consortium	1101528155	Scaffold	2020-07-10	VZTO01
GCA_027123655.1	ASM2712365v1	Muscicapa comitata					FMNH birds-511303			1064964381	Scaffold	2022-12-20	JAOTIY01
GCA_027122915.1	ASM2712291v1	Falco femoralis					ZW3NAPDIPV			1189356628	Scaffold	2022-12-20	JAOPJR01
GCA_026770195.1	ASM2677019v1	Circus approximans					KU 114996			1207709646	Scaffold	2022-12-09	JANZMF01
GCA_013397665.1	ASM1339766v1	Probosciger aterrimus					B10K-DU-017-47	male	Annotation submitted by B10K Consortium	1061537285	Scaffold	2020-07-10	VYZH01
GCA_027564695.1	ASM2756469v1	Ictinia mississippiensis					ANSP 33850			1211467641	Scaffold	2023-01-03	JANXJD01
GCA_025727755.1	ASM2572775v1	Accipiter soloensis					KU 113115			1202459754	Scaffold	2022-10-17	JAOEIG01
GCA_025308975.1	ASM2530897v1	Accipiter rufiventris					LACM 75162			1218545930	Scaffold	2022-09-20	JANUFW01
GCA_025331215.1	ASM2533121v1	Actenoides lindsayi					9SJTFMH8LE			1173025913	Scaffold	2022-09-20	WTSP01
GCA_013399395.1	ASM1339939v1	Nyctiprogne leucopyga					B10K-DU-005-01	female	Annotation submitted by B10K Consortium	1115538861	Scaffold	2020-07-10	VZZU01
GCA_026546895.1	ASM2654689v1	Pogonocichla stellata					FMNH birds-355537			1066379272	Scaffold	2022-11-30	JAOTQZ01
GCA_028571125.1	ASM2857112v1	Larus argentatus					QCHUZ9TVWE			1184346518	Scaffold	2023-02-09	JAOWBQ01
GCA_028564985.1	ASM2856498v1	Crax fasciolata					P46686QJBK			1059346584	Scaffold	2023-02-09	JAOWBO01
GCA_021437205.1	HU_Cbicknelli_1.0	Catharus bicknelli					NYSM-10982	male		1054510266	Scaffold	2022-01-11	JAJGBH01
GCA_027575165.1	ASM2757516v1	Buteogallus aequinoctialis					ANSP 21452			1212785345	Scaffold	2023-01-06	JANZYB01
GCA_027497695.1	ASM2749769v1	Accipiter castanilius					ANSP 23649			1191473876	Scaffold	2022-12-30	JANBPM01
GCA_025727795.1	ASM2572779v1	Buteogallus meridionalis					W2SMVJUYKM			1208541050	Scaffold	2022-10-17	JAOEII01
GCA_026546585.1	ASM2654658v1	Muscicapa adusta					FMNH birds-355967			1066295304	Scaffold	2022-11-30	JAOTOO01
GCA_026213075.1	ASM2621307v1	Spizaetus ornatus					ANSP 21931			1221391872	Scaffold	2022-11-16	JANZLU01
GCA_028567075.1	ASM2856707v1	Toxostoma rufum					V5OR1K1X41			1219848389	Scaffold	2023-02-09	JAOXYN01
GCA_024336885.1	ASM2433688v1	Actenoides hombroni					3441YUFN42			1152258273	Scaffold	2022-07-20	WUAM01
GCA_013396675.1	ASM1339667v1	Eubucco bourcierii					B10K-DU-001-04	female	Annotation submitted by B10K Consortium	1237629233	Scaffold	2020-07-10	VWZE01
GCA_007556475.1	ZoPa_MNHNZO2015-572_v1.0	Zosterops pallidus						female		1149599252	Scaffold	2019-07-26	STGZ01
GCA_026283885.1	ASM2628388v1	Poicephalus gulielmi					7RV1QVVBPW			1197152094	Scaffold	2022-11-22	JANEXQ01
GCA_013396435.1	ASM1339643v1	Anhinga anhinga					B10K-CU-031-38	male	Annotation submitted by B10K Consortium	1183194070	Scaffold	2020-07-10	WBMU01
GCA_027564165.1	ASM2756416v1	Gallinago nigripennis					UWBM 71313			1147616369	Scaffold	2023-01-03	JAOQGL01
GCA_026122665.1	ASM2612266v1	Gallinago hardwickii		IRGN IP6AC41H5K						1142750823	Scaffold	2022-11-10	JAOQGE01
GCA_013397635.1	ASM1339763v1	Columbina picui					B10K-DU-021-26	male	Annotation submitted by B10K Consortium	1097919941	Scaffold	2020-07-10	VYZG01
GCA_024733675.1	ASM2473367v1	Psilopsiagon aymara					IRGN K6SHJZ2KDV			1122982684	Scaffold	2022-08-22	JANRGW01
GCA_024363065.2	ASM2436306v2	Pyrrhura roseifrons					MSB Bird 16101			1171003035	Scaffold	2023-06-01	JANFHV02
GCA_013401315.1	ASM1340131v1	Balaeniceps rex					B10K-DU-012-56	female	Annotation submitted by B10K Consortium	1181932130	Scaffold	2020-07-10	VYZW01
GCA_029814565.1	ASM2981456v1	Pionites melanocephalus					IRGN 6IWZNKOSS6			1109617375	Scaffold	2023-04-18	JAPVEF01
GCA_027479145.1	ASM2747914v1	Accipiter cirrocephalus					ANSP 24439			1204902086	Scaffold	2022-12-28	JANEXN01
GCA_024363045.1	ASM2436304v1	Aratinga maculata					YPM ORN 137433			1126680219	Scaffold	2022-07-21	JANCNV01
GCA_026937515.1	ASM2693751v1	Polyboroides typus					ANSP 23822			1219957792	Scaffold	2022-12-16	JANZLO01
GCA_028565335.1	ASM2856533v1	Limnodromus scolopaceus					IRGN PV7CA81XJ4			1178633981	Scaffold	2023-02-09	JAOXNO01
GCA_025447955.1	ASM2544795v1	Psilopsiagon aurifrons					IRGN 7RYJ3MW5PN			1093668012	Scaffold	2022-09-27	JAOEHY01
GCA_030323915.1	ASM3032391v1	Brotogeris chrysoptera					IRGN ZNAPR4TRJM			1097577309	Scaffold	2023-06-22	JARCZZ01
GCA_013400895.1	ASM1340089v1	Thalassarche chlororhynchos					B10K-DU-029-24	male	Annotation submitted by B10K Consortium	1087776125	Scaffold	2020-07-10	VZTW01
GCA_026284785.1	ASM2628478v1	Eupsittula nana					KU 95184			1171347932	Scaffold	2022-11-22	JANEXK01
GCA_030265185.1	ASM3026518v1	Pyrrhura eisenmanni					ANSP 189116			1103536342	Scaffold	2023-06-13	JASBQF01
GCA_025447915.1	ASM2544791v1	Trichoglossus euteles					IRGN G6RBWJNU72			1085078357	Scaffold	2022-09-27	JAOEHP01
GCA_027580135.1	ASM2758013v1	Nisaetus floris					MCZ Orn 261829			1238090346	Scaffold	2023-01-06	JANZYF01
GCA_028565055.1	ASM2856505v1	Phoeniculus purpureus					IRGN UEMQJDX4L5			1048516430	Scaffold	2023-02-09	JAOXOE01
GCA_027479285.1	ASM2747928v1	Accipiter novaehollandiae					ANSP 25765			1234816084	Scaffold	2022-12-28	JANEXO01
GCA_026413205.1	ASM2641320v1	Pyrrhura chapmani					IRGN Hains-t3			1108667104	Scaffold	2022-11-27	JANZXS01
GCA_026284485.1	ASM2628448v1	Aratinga jandaya					4UB3A4QQSB			1152356529	Scaffold	2022-11-22	JANCMD01
GCA_026284505.1	ASM2628450v1	Deroptyus accipitrinus		ANSP 188419						1185871534	Scaffold	2022-11-22	JANHGX01
GCA_027475505.1	ASM2747550v1	Melierax poliopterus								1216086257	Scaffold	2022-12-28	JANZMC01
GCA_009867205.2	ASM986720v2	Aratinga weddellii					MP37L3HKH9			1133248645	Scaffold	2022-11-27	WYDH02
GCA_026284625.1	ASM2628462v1	Ara ambiguus					8MMB8YFEBS	female		1122134778	Scaffold	2022-11-22	JANCME01
GCA_026284685.1	ASM2628468v1	Aratinga auricapillus					UWBM 73857			1149823348	Scaffold	2022-11-22	JANEXI01
GCA_024361765.2	ASM2436176v2	Psittacara wagleri					LSUMZ FrozenTissue 5261			1248009158	Scaffold	2023-06-01	JANEMI02
GCA_025727695.1	ASM2572769v1	Ciconia stormi					NRDTRF1KBM			1223238472	Scaffold	2022-10-17	JAOEIC01
GCA_026283805.1	ASM2628380v1	Psittacara mitratus					CUMV Bird 52922			1152527767	Scaffold	2022-11-22	JANEXA01
GCA_025629965.1	ASM2562996v1	Cyanoramphus novaezelandiae					IRGN JQBBWUPC1M			1099007520	Scaffold	2022-10-08	JAOSLK01
GCA_026283615.1	ASM2628361v1	Amazona vinacea								1101684052	Scaffold	2022-11-22	JANZMG01
GCA_026283765.1	ASM2628376v1	Psephotus haematonotus					IRGN NXWXB9NBMU			1111798302	Scaffold	2022-11-22	JANEWY01
GCA_026284805.1	ASM2628480v1	Rhynchopsitta pachyrhyncha					3VX6L643NX	female		1146651953	Scaffold	2022-11-22	JANEXL01
GCA_024733695.1	ASM2473369v1	Ara severus					FMNH 34499			1119346424	Scaffold	2022-08-22	JANRGX01
GCA_026284745.2	ASM2628474v2	Primolius auricollis					YPM ORN 84843			1315748477	Scaffold	2023-06-01	JANFOM02
GCA_013399535.1	ASM1339953v1	Phaetusa simplex					B10K-DU-009-16	female	Annotation submitted by B10K Consortium	1151692184	Scaffold	2020-07-10	VZZW01
GCA_026283705.1	ASM2628370v1	Psittacara chloropterus					FMNH birds-350812			1152608832	Scaffold	2022-11-22	JANEXP01
GCA_024320895.1	ASM2432089v1	Psittacara holochlorus					YPM ORN 142546			1115336859	Scaffold	2022-07-18	JANDAY01
GCA_025629885.1	ASM2562988v1	Lorius chlorocercus					IRGN MI9WGLHNDS			1080505962	Scaffold	2022-10-08	JAOSLP01
GCA_013400535.1	ASM1340053v1	Scopus umbretta					B10K-DU-002-70		Annotation submitted by B10K Consortium	1091975655	Scaffold	2020-07-10	VZTL01
GCA_025629925.1	ASM2562992v1	Platycercus adscitus					IRGN H84CDEQLPX			1091548482	Scaffold	2022-10-08	JAOSLL01
GCA_013399335.1	ASM1339933v1	Fregetta grallaria					B10K-DU-006-09	female	Annotation submitted by B10K Consortium	1173305012	Scaffold	2020-07-10	VZZT01
GCA_025728075.1	ASM2572807v1	Gallinago paraguaiae					LSU 38079			1153592092	Scaffold	2022-10-17	JAOSZB01
GCA_027564495.1	ASM2756449v1	Gallinago solitaria					UAM 27000			1147164240	Scaffold	2023-01-03	JAOQGI01
GCA_013401355.1	ASM1340135v1	Ceyx cyanopectus					B10K-DU-013-51	female	Annotation submitted by B10K Consortium	1119293467	Scaffold	2020-07-10	VYZU01
GCA_026770055.1	ASM2677005v1	Myrmophylax atrothorax					IRGN 4C559DKME4			1118013076	Scaffold	2022-12-09	JAOXXN01
GCA_025727915.1	ASM2572791v1	Macheiramphus alcinus					WFVZ 37194			1241501536	Scaffold	2022-10-17	JAOEIN01
GCA_027579975.1	ASM2757997v1	Ciconia abdimii					YPAK3HBVR2			1220174253	Scaffold	2023-01-06	JAODXT01
GCA_025448015.1	ASM2544801v1	Bolborhynchus lineola					IRGN KD72KNXJUQ			1112797561	Scaffold	2022-09-27	JAOEHX01
GCA_025629905.1	ASM2562990v1	Lorius lory					IRGN EL7VPO5C03			1144405601	Scaffold	2022-10-08	JAOSLQ01
GCA_010014875.2	ASM1001487v2	Psitteuteles goldiei					Piper_X7F3MAPY5K	male		1131212449	Scaffold	2022-07-29	JAAAKH02
GCA_013400855.1	ASM1340085v1	Buphagus erythrorhynchus					B10K-DU-012-02	male	Annotation submitted by B10K Consortium	1040192226	Scaffold	2020-07-10	VZTT01
GCA_024363085.1	ASM2436308v1	Eos semilarvata					ZHQG8TVA46	female		1091480539	Scaffold	2022-07-21	JANDED01
GCA_027497835.1	ASM2749783v1	Accipiter erythropus					KU 110957			1211904210	Scaffold	2022-12-30	JANBPL01
GCA_026284725.1	ASM2628472v1	Eupsittula canicularis					7NDEHVATND			1179437546	Scaffold	2022-11-22	JANEXJ01
GCA_009936445.2	ASM993644v2	Anodorhynchus hyacinthinus					LEKZKR9XQ3			1105970761	Scaffold	2022-07-21	WOUG02
GCA_010014925.2	ASM1001492v2	Lorius garrulus					Tuckie_XQVJVZF3ZU	female		1108045951	Scaffold	2022-11-30	JAAAKI02
GCA_026153235.1	ASM2615323v1	Morphnarchus princeps					IRGN C5323HG16F			1207877070	Scaffold	2022-11-12	JAPFFO01
GCA_025629865.1	ASM2562986v1	Cyanoliseus patagonus					IRGN NJKN8KX361			1116363512	Scaffold	2022-10-08	JAOTBC01
GCA_024363185.1	ASM2436318v1	Accipiter hiogaster					KU 97031			1223023164	Scaffold	2022-07-21	JANCIS01
GCA_026122685.1	ASM2612268v1	Gallinago megala		IRGN OYQMCTRVVT						1176315638	Scaffold	2022-11-10	JAOQGF01
GCA_027564435.1	ASM2756443v1	Falco berigora					KU 134054			1212117839	Scaffold	2023-01-03	JAOPUJ01
GCA_027479025.1	ASM2747902v1	Accipiter melanoleucus					LACM 78235			1264461157	Scaffold	2022-12-28	JANEXH01
GCA_024320935.1	ASM2432093v1	Eupsittula cactorum					FMNH birds-392794			1191716169	Scaffold	2022-07-18	JANDAZ01
GCA_026283665.1	ASM2628366v1	Amazona leucocephala					IRGN HW1F5JZ8V1			1181338393	Scaffold	2022-11-22	JANDEE01
GCA_026283825.1	ASM2628382v1	Poicephalus rufiventris					FMNH birds-363140			1149547907	Scaffold	2022-11-22	JANEXB01
GCA_024363025.1	ASM2436302v1	Callocephalon fimbriatum					23YATIRNP8	female		1101422322	Scaffold	2022-07-21	JANDEC01
GCA_013399775.1	ASM1339977v1	Semnornis frantzii					B10K-DU-001-42	male	Annotation submitted by B10K Consortium	1068132104	Scaffold	2020-07-10	VWYK01
GCA_010015045.2	ASM1001504v2	Lophochroa leadbeateri					NFDCT17Z3U			1102642260	Scaffold	2022-07-29	JAAAKP02
GCA_026770115.1	ASM2677011v1	Aviceda subcristata					KU 98819			1206282165	Scaffold	2022-12-09	JANVCT01
GCA_025309315.1	ASM2530931v1	Melierax canorus					LACM 79106			1262092846	Scaffold	2022-09-20	JAOBAN01
GCA_013396815.1	ASM1339681v1	Corythaeola cristata					B10K-CU-031-40	male	Annotation submitted by B10K Consortium	1091055752	Scaffold	2020-07-10	WBMX01
GCA_027497855.1	ASM2749785v1	Accipiter striatus					LSUMZ B-38859			1320931327	Scaffold	2022-12-30	JANCMG01
GCA_026283745.1	ASM2628374v1	Eupsittula aurea					FMNH birds-392679			1179334003	Scaffold	2022-11-22	JANEWX01
GCA_027564675.1	ASM2756467v1	Nisaetus cirrhatus					LACM Birds 32809			1286095172	Scaffold	2023-01-03	JANXJJ01
GCA_026930705.1	ASM2693070v1	Buteo nitidus					ANSP 21044			1234405566	Scaffold	2022-12-16	JANVCP01
GCA_027564035.1	ASM2756403v1	Gallinago delicata					FMNH 482559			1201500499	Scaffold	2023-01-03	JAOQGJ01
GCA_025308995.1	ASM2530899v1	Buteo ventralis					LACM 56760			1245602180	Scaffold	2022-09-20	JANUXP01
GCA_024331645.1	ASM2433164v1	Poicephalus robustus					FMNH birds-350829			1154348305	Scaffold	2022-07-19	JANDJS01
GCA_026770385.1	ASM2677038v1	Circaetus cinerascens					LACM 64143			1312431406	Scaffold	2022-12-09	JANZLZ01
GCA_030556125.1	ASM3055612v1	Pyrrhura berlepschi					ANSP 176701			1176808966	Scaffold	2023-07-31	JAUHVJ01
GCA_026283865.1	ASM2628386v1	Poicephalus meyeri					Q8NA833WJ7			1161071501	Scaffold	2022-11-22	JANHGE01
GCA_025447935.1	ASM2544793v1	Barnardius zonarius					IRGN E2RLKO3T3F			1104505147	Scaffold	2022-09-27	JAOEHM01
GCA_029814485.1	ASM2981448v1	Erythrotriorchis buergersi					IRGN BBM-NG-54096			1314410012	Scaffold	2023-04-18	JAPTGX01
GCA_024331665.1	ASM2433166v1	Amazona autumnalis					IRGN HJ6MFZFI5Z			1299624158	Scaffold	2022-07-20	JANDJX01
GCA_027564555.1	ASM2756455v1	Buteo swainsoni					ANSP 26162			1208458055	Scaffold	2023-01-03	JANXJI01
GCA_013400675.1	ASM1340067v1	Oxylabes madagascariensis					B10K-DU-002-81	female	Annotation submitted by B10K Consortium	1199250113	Scaffold	2020-07-10	VYZR01
GCA_026930925.1	ASM2693092v1	Chelictinia riocourii					LACM Birds 54504			1308151140	Scaffold	2022-12-16	JANZLP01
GCA_030264335.1	ASM3026433v1	Enicognathus leptorhynchus					FMNH 316644			1093646566	Scaffold	2023-06-13	JASCRF01
GCA_024361725.1	ASM2436172v1	Pionus maximiliani					IRGN 7GL61TBBSW			1182257092	Scaffold	2022-07-20	JANEMH01
GCA_026213055.1	ASM2621305v1	Leucopternis melanops					ANSP 20959			1323363402	Scaffold	2022-11-16	JANZMA01
GCA_027576755.1	ASM2757675v1	Alethe poliocephala					FMNH 396361			1163580681	Scaffold	2023-01-06	JANZXQ01
GCA_027575105.1	ASM2757510v1	Haliastur sphenurus					ANSP 22972			1253870908	Scaffold	2023-01-06	JANZXZ01
GCA_025727875.1	ASM2572787v1	Circus maillardi					H7TNOLYJAL			1268509935	Scaffold	2022-10-17	JAOEIJ01
GCA_025448135.1	ASM2544813v1	Haliaeetus ichthyaetus					CGW5D3L824			1319805115	Scaffold	2022-09-27	JAOEHU01
GCA_027575145.1	ASM2757514v1	Gyps rueppelli					LACM 61059			1254579656	Scaffold	2023-01-06	JANZYA01
GCA_011762725.2	ASM1176272v2	Pionus senilis					7NLP3JS58T	female		1218450392	Scaffold	2022-12-29	WURU02
GCA_030265165.1	ASM3026516v1	Pyrrhura pfrimeri					FMNH 75209			1076229255	Scaffold	2023-06-13	JARDUK01
GCA_027564535.1	ASM2756453v1	Buteo regalis								1186467330	Scaffold	2023-01-03	JANXJG01
GCA_026259555.1	ASM2625955v1	Protonotaria citrea					IRGN A0WOOL93Z8			1048280936	Scaffold	2022-11-21	JAOYNP01
GCA_026284865.1	ASM2628486v1	Eos histrio					CNV3YZXO45	female		1341585938	Scaffold	2022-11-22	JANHHC01
GCA_027564575.1	ASM2756457v1	Spilornis abbotti								1236168887	Scaffold	2023-01-03	JANXJH01
GCA_025504875.1	ASM2550487v1	Circus macrourus					LACM 41658			1239382573	Scaffold	2022-09-30	JANZLW01
GCA_026413525.1	ASM2641352v1	Poicephalus cryptoxanthus					FMNH birds-474716			1235691731	Scaffold	2022-11-27	JANHOB01
GCA_025311615.1	ASM2531161v1	Parabuteo unicinctus					TCWC 14879			1097572847	Scaffold	2022-09-20	JAOBAR01
GCA_030322885.1	ASM3032288v1	Pyrrhura emma					FMNH 97206			1012801990	Scaffold	2023-06-22	JARFYE01
GCA_030322865.1	ASM3032286v1	Pyrrhura leucotis					FMNH 150095			726999208	Scaffold	2023-06-22	JARFYD01
GCA_030418925.1	ASM3041892v1	Pyrrhura viridicata					FMNH 72327			1105210694	Scaffold	2023-07-11	JAUBWV01
GCA_026930785.1	ASM2693078v1	Harpyopsis novaeguineae					LAF 2025			860319238	Scaffold	2022-12-16	JANZLL01
GCA_030265375.1	ASM3026537v1	Cacatua tenuirostris					KU 10638			1155085012	Scaffold	2023-06-13	JARDVD01
GCA_030068125.1	ASM3006812v1	Conuropsis carolinensis					FMNH 124024			591798083	Scaffold	2023-05-24	JAOBYI01
GCA_025802475.2	ASM2580247v2	Pernis celebensis					MCZ Orn_270340			915749557	Scaffold	2023-06-07	JAOYMY02
